"","Shield","Ageg","Week","Date","Freq","LowCount"
"53","0",6,27,2020-07-05,3,1
"54","0",6,28,2020-07-12,3,1
"55","0",6,29,2020-07-19,3,1
"56","0",6,30,2020-07-26,3,1
"57","0",6,33,2020-08-16,3,1
"58","0",6,34,2020-08-23,3,1
"59","0",6,37,2020-09-13,3,1
"60","0",6,40,2020-10-04,3,1
"61","0",6,41,2020-10-11,3,1
"62","0",6,42,2020-10-18,3,1
"63","0",6,43,2020-10-25,3,1
"64","0",6,44,2020-11-01,9,0
"65","0",6,45,2020-11-08,3,1
"66","0",6,46,2020-11-15,3,1
"67","0",6,47,2020-11-22,9,1
"68","0",6,48,2020-11-29,9,0
"69","1",6,13,2020-03-29,3,1
"70","1",6,14,2020-04-05,3,1
"71","1",6,15,2020-04-12,9,0
"72","1",6,16,2020-04-19,3,1
"73","1",6,17,2020-04-26,9,1
"74","1",6,18,2020-05-03,3,1
"75","1",6,19,2020-05-10,3,1
"76","1",6,20,2020-05-17,3,1
"77","1",6,21,2020-05-24,3,1
"78","1",6,22,2020-05-31,3,1
"79","1",6,23,2020-06-07,3,1
"80","1",6,25,2020-06-21,3,1
"81","1",6,30,2020-07-26,3,1
"82","1",6,32,2020-08-09,3,1
"83","1",6,36,2020-09-06,3,1
"84","1",6,41,2020-10-11,3,1
"85","1",6,43,2020-10-25,3,1
"86","1",6,44,2020-11-01,3,1
"87","1",6,45,2020-11-08,3,1
"88","1",6,46,2020-11-15,3,1
"89","1",6,47,2020-11-22,3,1
"90","0",7,11,2020-03-15,3,1
"91","0",7,12,2020-03-22,9,0
"92","0",7,13,2020-03-29,33,0
"93","0",7,14,2020-04-05,63,0
"94","0",7,15,2020-04-12,81,0
"95","0",7,16,2020-04-19,63,0
"96","0",7,17,2020-04-26,57,0
"97","0",7,18,2020-05-03,27,0
"98","0",7,19,2020-05-10,9,0
"99","0",7,20,2020-05-17,15,0
"100","0",7,21,2020-05-24,9,0
"101","0",7,22,2020-05-31,3,1
"102","0",7,23,2020-06-07,3,1
"103","0",7,24,2020-06-14,3,1
"104","0",7,25,2020-06-21,3,1
"105","0",7,26,2020-06-28,3,1
"106","0",7,27,2020-07-05,3,1
"107","0",7,29,2020-07-19,3,1
"108","0",7,30,2020-07-26,3,1
"109","0",7,31,2020-08-02,3,1
"110","0",7,33,2020-08-16,3,1
"111","0",7,35,2020-08-30,3,1
"112","0",7,36,2020-09-06,3,1
"113","0",7,39,2020-09-27,3,1
"114","0",7,40,2020-10-04,3,1
"115","0",7,41,2020-10-11,3,1
"116","0",7,42,2020-10-18,3,1
"117","0",7,43,2020-10-25,9,0
"118","0",7,44,2020-11-01,15,0
"119","0",7,45,2020-11-08,15,0
"120","0",7,46,2020-11-15,15,0
"121","0",7,47,2020-11-22,15,0
"122","0",7,48,2020-11-29,21,0
"123","1",7,12,2020-03-22,3,1
"124","1",7,13,2020-03-29,9,0
"125","1",7,14,2020-04-05,21,0
"126","1",7,15,2020-04-12,15,0
"127","1",7,16,2020-04-19,15,0
"128","1",7,17,2020-04-26,15,0
"129","1",7,18,2020-05-03,9,0
"130","1",7,19,2020-05-10,9,0
"131","1",7,20,2020-05-17,9,1
"132","1",7,21,2020-05-24,3,1
"133","1",7,22,2020-05-31,9,1
"134","1",7,23,2020-06-07,3,1
"135","1",7,25,2020-06-21,3,1
"136","1",7,26,2020-06-28,3,1
"137","1",7,28,2020-07-12,3,1
"138","1",7,29,2020-07-19,3,1
"139","1",7,30,2020-07-26,3,1
"140","1",7,35,2020-08-30,3,1
"141","1",7,38,2020-09-20,3,1
"142","1",7,39,2020-09-27,3,1
"143","1",7,40,2020-10-04,3,1
"144","1",7,42,2020-10-18,3,1
"145","1",7,43,2020-10-25,9,0
"146","1",7,44,2020-11-01,9,1
"147","1",7,45,2020-11-08,9,0
"148","1",7,46,2020-11-15,15,0
"149","1",7,47,2020-11-22,15,0
"150","1",7,48,2020-11-29,15,0
"151","0",8,11,2020-03-15,3,1
"152","0",8,12,2020-03-22,27,0
"153","0",8,13,2020-03-29,75,0
"154","0",8,14,2020-04-05,147,0
"155","0",8,15,2020-04-12,147,0
"156","0",8,16,2020-04-19,111,0
"157","0",8,17,2020-04-26,87,0
"158","0",8,18,2020-05-03,63,0
"159","0",8,19,2020-05-10,39,0
"160","0",8,20,2020-05-17,21,0
"161","0",8,21,2020-05-24,15,0
"162","0",8,22,2020-05-31,9,0
"163","0",8,23,2020-06-07,15,0
"164","0",8,24,2020-06-14,9,0
"165","0",8,25,2020-06-21,9,1
"166","0",8,26,2020-06-28,9,0
"167","0",8,27,2020-07-05,3,1
"168","0",8,28,2020-07-12,3,1
"169","0",8,29,2020-07-19,3,1
"170","0",8,30,2020-07-26,3,1
"171","0",8,31,2020-08-02,3,1
"172","0",8,32,2020-08-09,3,1
"173","0",8,34,2020-08-23,3,1
"174","0",8,35,2020-08-30,3,1
"175","0",8,37,2020-09-13,3,1
"176","0",8,38,2020-09-20,3,1
"177","0",8,39,2020-09-27,3,1
"178","0",8,40,2020-10-04,9,0
"179","0",8,41,2020-10-11,9,0
"180","0",8,42,2020-10-18,15,0
"181","0",8,43,2020-10-25,15,0
"182","0",8,44,2020-11-01,27,0
"183","0",8,45,2020-11-08,39,0
"184","0",8,46,2020-11-15,45,0
"185","0",8,47,2020-11-22,57,0
"186","0",8,48,2020-11-29,57,0
"187","1",8,11,2020-03-15,3,1
"188","1",8,12,2020-03-22,3,1
"189","1",8,13,2020-03-29,27,0
"190","1",8,14,2020-04-05,45,0
"191","1",8,15,2020-04-12,57,0
"192","1",8,16,2020-04-19,45,0
"193","1",8,17,2020-04-26,27,0
"194","1",8,18,2020-05-03,21,0
"195","1",8,19,2020-05-10,27,0
"196","1",8,20,2020-05-17,15,0
"197","1",8,21,2020-05-24,3,1
"198","1",8,22,2020-05-31,15,0
"199","1",8,23,2020-06-07,9,0
"200","1",8,24,2020-06-14,3,1
"201","1",8,25,2020-06-21,9,1
"202","1",8,26,2020-06-28,3,1
"203","1",8,27,2020-07-05,3,1
"204","1",8,28,2020-07-12,3,1
"205","1",8,29,2020-07-19,3,1
"206","1",8,30,2020-07-26,3,1
"207","1",8,31,2020-08-02,3,1
"208","1",8,36,2020-09-06,3,1
"209","1",8,37,2020-09-13,3,1
"210","1",8,38,2020-09-20,3,1
"211","1",8,39,2020-09-27,3,1
"212","1",8,40,2020-10-04,3,1
"213","1",8,41,2020-10-11,3,1
"214","1",8,42,2020-10-18,15,0
"215","1",8,43,2020-10-25,9,0
"216","1",8,44,2020-11-01,21,0
"217","1",8,45,2020-11-08,21,0
"218","1",8,46,2020-11-15,27,0
"219","1",8,47,2020-11-22,33,0
"220","1",8,48,2020-11-29,33,0
"221","0",9,10,2020-03-08,3,1
"222","0",9,11,2020-03-15,15,0
"223","0",9,12,2020-03-22,111,0
"224","0",9,13,2020-03-29,423,0
"225","0",9,14,2020-04-05,825,0
"226","0",9,15,2020-04-12,897,0
"227","0",9,16,2020-04-19,687,0
"228","0",9,17,2020-04-26,471,0
"229","0",9,18,2020-05-03,357,0
"230","0",9,19,2020-05-10,279,0
"231","0",9,20,2020-05-17,213,0
"232","0",9,21,2020-05-24,195,0
"233","0",9,22,2020-05-31,123,0
"234","0",9,23,2020-06-07,99,0
"235","0",9,24,2020-06-14,69,0
"236","0",9,25,2020-06-21,45,0
"237","0",9,26,2020-06-28,57,0
"238","0",9,27,2020-07-05,27,0
"239","0",9,28,2020-07-12,27,0
"240","0",9,29,2020-07-19,9,0
"241","0",9,30,2020-07-26,15,0
"242","0",9,31,2020-08-02,9,0
"243","0",9,32,2020-08-09,9,0
"244","0",9,33,2020-08-16,3,1
"245","0",9,34,2020-08-23,3,1
"246","0",9,35,2020-08-30,3,1
"247","0",9,36,2020-09-06,9,1
"248","0",9,37,2020-09-13,9,1
"249","0",9,38,2020-09-20,15,0
"250","0",9,39,2020-09-27,27,0
"251","0",9,40,2020-10-04,33,0
"252","0",9,41,2020-10-11,69,0
"253","0",9,42,2020-10-18,129,0
"254","0",9,43,2020-10-25,171,0
"255","0",9,44,2020-11-01,273,0
"256","0",9,45,2020-11-08,309,0
"257","0",9,46,2020-11-15,309,0
"258","0",9,47,2020-11-22,393,0
"259","0",9,48,2020-11-29,333,0
"260","1",9,11,2020-03-15,3,1
"261","1",9,12,2020-03-22,27,0
"262","1",9,13,2020-03-29,111,0
"263","1",9,14,2020-04-05,249,0
"264","1",9,15,2020-04-12,309,0
"265","1",9,16,2020-04-19,273,0
"266","1",9,17,2020-04-26,195,0
"267","1",9,18,2020-05-03,171,0
"268","1",9,19,2020-05-10,123,0
"269","1",9,20,2020-05-17,93,0
"270","1",9,21,2020-05-24,75,0
"271","1",9,22,2020-05-31,75,0
"272","1",9,23,2020-06-07,57,0
"273","1",9,24,2020-06-14,33,0
"274","1",9,25,2020-06-21,27,0
"275","1",9,26,2020-06-28,15,0
"276","1",9,27,2020-07-05,15,0
"277","1",9,28,2020-07-12,9,0
"278","1",9,29,2020-07-19,9,0
"279","1",9,30,2020-07-26,3,1
"280","1",9,31,2020-08-02,3,1
"281","1",9,32,2020-08-09,3,1
"282","1",9,33,2020-08-16,3,1
"283","1",9,34,2020-08-23,3,1
"284","1",9,35,2020-08-30,9,1
"285","1",9,36,2020-09-06,3,1
"286","1",9,37,2020-09-13,9,0
"287","1",9,38,2020-09-20,3,1
"288","1",9,39,2020-09-27,9,0
"289","1",9,40,2020-10-04,21,0
"290","1",9,41,2020-10-11,33,0
"291","1",9,42,2020-10-18,69,0
"292","1",9,43,2020-10-25,111,0
"293","1",9,44,2020-11-01,141,0
"294","1",9,45,2020-11-08,165,0
"295","1",9,46,2020-11-15,183,0
"296","1",9,47,2020-11-22,189,0
"297","1",9,48,2020-11-29,189,0
