"","Shield","Ageg","Week","Date","Freq","LowCount"
"1","0",2,47,2020-11-22,3,1
"2","0",3,20,2020-05-17,3,1
"3","0",4,14,2020-04-05,3,1
"4","0",4,15,2020-04-12,3,1
"5","0",4,27,2020-07-05,3,1
"6","0",4,43,2020-10-25,3,1
"7","0",4,45,2020-11-08,3,1
"8","0",4,47,2020-11-22,3,1
"9","1",4,13,2020-03-29,3,1
"10","1",4,21,2020-05-24,3,1
"11","1",4,47,2020-11-22,3,1
"12","0",5,12,2020-03-22,3,1
"13","0",5,14,2020-04-05,9,0
"14","0",5,15,2020-04-12,3,1
"15","0",5,16,2020-04-19,3,1
"16","0",5,17,2020-04-26,3,1
"17","0",5,18,2020-05-03,3,1
"18","0",5,19,2020-05-10,3,1
"19","0",5,22,2020-05-31,3,1
"20","0",5,23,2020-06-07,3,1
"21","0",5,24,2020-06-14,3,1
"22","0",5,30,2020-07-26,3,1
"23","0",5,35,2020-08-30,3,1
"24","0",5,43,2020-10-25,3,1
"25","0",5,45,2020-11-08,3,1
"26","0",5,46,2020-11-15,3,1
"27","0",5,47,2020-11-22,3,1
"28","0",5,48,2020-11-29,3,1
"29","1",5,15,2020-04-12,3,1
"30","1",5,16,2020-04-19,3,1
"31","1",5,17,2020-04-26,3,1
"32","1",5,37,2020-09-13,3,1
"33","1",5,38,2020-09-20,3,1
"34","1",5,44,2020-11-01,3,1
"35","1",5,47,2020-11-22,3,1
"36","1",5,48,2020-11-29,3,1
"37","0",6,11,2020-03-15,3,1
"38","0",6,12,2020-03-22,3,1
"39","0",6,13,2020-03-29,3,1
"40","0",6,14,2020-04-05,15,0
"41","0",6,15,2020-04-12,21,0
"42","0",6,16,2020-04-19,9,0
"43","0",6,17,2020-04-26,9,0
"44","0",6,18,2020-05-03,3,1
"45","0",6,19,2020-05-10,9,0
"46","0",6,20,2020-05-17,3,1
"47","0",6,21,2020-05-24,3,1
"48","0",6,22,2020-05-31,3,1
"49","0",6,23,2020-06-07,3,1
"50","0",6,24,2020-06-14,3,1
"51","0",6,25,2020-06-21,3,1
"52","0",6,26,2020-06-28,3,1
