"","Week","Date","Freq","LowCount"
"1",1,2020-01-02,3,1
"2",2,2020-01-09,9,0
"3",3,2020-01-16,15,0
"4",4,2020-01-23,15,0
"5",5,2020-01-30,27,0
"6",6,2020-02-06,27,0
"7",7,2020-02-13,45,0
"8",8,2020-02-20,93,0
"9",9,2020-02-27,171,0
"10",10,2020-03-05,273,0
"11",11,2020-03-12,837,0
"12",12,2020-03-19,1977,0
"13",13,2020-03-26,4203,0
"14",14,2020-04-02,5109,0
"15",15,2020-04-09,3411,0
"16",16,2020-04-16,2511,0
"17",17,2020-04-23,1971,0
"18",18,2020-04-30,1695,0
"19",19,2020-05-07,1251,0
"20",20,2020-05-14,1041,0
"21",21,2020-05-21,723,0
"22",22,2020-05-28,645,0
"23",23,2020-06-04,489,0
"24",24,2020-06-11,501,0
"25",25,2020-06-18,399,0
"26",26,2020-06-25,309,0
"27",27,2020-07-02,249,0
"28",28,2020-07-09,213,0
"29",29,2020-07-16,171,0
"30",30,2020-07-23,141,0
"31",31,2020-07-30,141,0
"32",32,2020-08-06,135,0
"33",33,2020-08-13,135,0
"34",34,2020-08-20,117,0
"35",35,2020-08-27,147,0
"36",36,2020-09-03,219,0
"37",37,2020-09-10,393,0
"38",38,2020-09-17,603,0
"39",39,2020-09-24,789,0
"40",40,2020-10-01,1137,0
"41",41,2020-10-08,1449,0
"42",42,2020-10-15,1851,0
"43",43,2020-10-22,2439,0
"44",44,2020-10-29,2763,0
"45",45,2020-11-05,2925,0
"46",46,2020-11-12,2931,0
"47",47,2020-11-19,2313,0
"48",48,2020-11-26,1725,0
