"","Shield","Week","Date","Freq","LowCount"
"1","0",10,2020-03-08,3,1
"2","0",11,2020-03-15,21,0
"3","0",12,2020-03-22,147,0
"4","0",13,2020-03-29,537,0
"5","0",14,2020-04-05,1059,0
"6","0",15,2020-04-12,1155,0
"7","0",16,2020-04-19,879,0
"8","0",17,2020-04-26,627,0
"9","0",18,2020-05-03,447,0
"10","0",19,2020-05-10,333,0
"11","0",20,2020-05-17,261,0
"12","0",21,2020-05-24,225,0
"13","0",22,2020-05-31,147,0
"14","0",23,2020-06-07,117,0
"15","0",24,2020-06-14,87,0
"16","0",25,2020-06-21,63,0
"17","0",26,2020-06-28,69,0
"18","0",27,2020-07-05,33,0
"19","0",28,2020-07-12,33,0
"20","0",29,2020-07-19,15,0
"21","0",30,2020-07-26,21,0
"22","0",31,2020-08-02,15,0
"23","0",32,2020-08-09,9,0
"24","0",33,2020-08-16,3,1
"25","0",34,2020-08-23,9,1
"26","0",35,2020-08-30,9,0
"27","0",36,2020-09-06,9,0
"28","0",37,2020-09-13,9,0
"29","0",38,2020-09-20,15,0
"30","0",39,2020-09-27,27,0
"31","0",40,2020-10-04,39,0
"32","0",41,2020-10-11,81,0
"33","0",42,2020-10-18,153,0
"34","0",43,2020-10-25,207,0
"35","0",44,2020-11-01,327,0
"36","0",45,2020-11-08,369,0
"37","0",46,2020-11-15,381,0
"38","0",47,2020-11-22,471,0
"39","0",48,2020-11-29,423,0
"40","1",11,2020-03-15,3,1
"41","1",12,2020-03-22,33,0
"42","1",13,2020-03-29,153,0
"43","1",14,2020-04-05,315,0
"44","1",15,2020-04-12,393,0
"45","1",16,2020-04-19,339,0
"46","1",17,2020-04-26,249,0
"47","1",18,2020-05-03,207,0
"48","1",19,2020-05-10,165,0
"49","1",20,2020-05-17,117,0
"50","1",21,2020-05-24,87,0
"51","1",22,2020-05-31,99,0
"52","1",23,2020-06-07,69,0
"53","1",24,2020-06-14,39,0
"54","1",25,2020-06-21,39,0
"55","1",26,2020-06-28,15,0
"56","1",27,2020-07-05,21,0
"57","1",28,2020-07-12,15,0
"58","1",29,2020-07-19,9,0
"59","1",30,2020-07-26,9,0
"60","1",31,2020-08-02,3,1
"61","1",32,2020-08-09,9,1
"62","1",33,2020-08-16,3,1
"63","1",34,2020-08-23,3,1
"64","1",35,2020-08-30,9,0
"65","1",36,2020-09-06,3,1
"66","1",37,2020-09-13,15,0
"67","1",38,2020-09-20,15,0
"68","1",39,2020-09-27,15,0
"69","1",40,2020-10-04,27,0
"70","1",41,2020-10-11,39,0
"71","1",42,2020-10-18,87,0
"72","1",43,2020-10-25,129,0
"73","1",44,2020-11-01,177,0
"74","1",45,2020-11-08,201,0
"75","1",46,2020-11-15,225,0
"76","1",47,2020-11-22,243,0
"77","1",48,2020-11-29,237,0
