"","Shield","Week","Date","Freq","LowCount"
"1","0",1,2020-01-02,3,1
"2","0",2,2020-01-09,9,0
"3","0",3,2020-01-16,9,0
"4","0",4,2020-01-23,9,0
"5","0",5,2020-01-30,21,0
"6","0",6,2020-02-06,21,0
"7","0",7,2020-02-13,33,0
"8","0",8,2020-02-20,69,0
"9","0",9,2020-02-27,129,0
"10","0",10,2020-03-05,195,0
"11","0",11,2020-03-12,603,0
"12","0",12,2020-03-19,1449,0
"13","0",13,2020-03-26,3219,0
"14","0",14,2020-04-02,3951,0
"15","0",15,2020-04-09,2559,0
"16","0",16,2020-04-16,1821,0
"17","0",17,2020-04-23,1443,0
"18","0",18,2020-04-30,1263,0
"19","0",19,2020-05-07,945,0
"20","0",20,2020-05-14,753,0
"21","0",21,2020-05-21,525,0
"22","0",22,2020-05-28,483,0
"23","0",23,2020-06-04,375,0
"24","0",24,2020-06-11,393,0
"25","0",25,2020-06-18,291,0
"26","0",26,2020-06-25,237,0
"27","0",27,2020-07-02,195,0
"28","0",28,2020-07-09,153,0
"29","0",29,2020-07-16,123,0
"30","0",30,2020-07-23,111,0
"31","0",31,2020-07-30,105,0
"32","0",32,2020-08-06,105,0
"33","0",33,2020-08-13,99,0
"34","0",34,2020-08-20,93,0
"35","0",35,2020-08-27,111,0
"36","0",36,2020-09-03,171,0
"37","0",37,2020-09-10,309,0
"38","0",38,2020-09-17,477,0
"39","0",39,2020-09-24,609,0
"40","0",40,2020-10-01,849,0
"41","0",41,2020-10-08,1083,0
"42","0",42,2020-10-15,1401,0
"43","0",43,2020-10-22,1833,0
"44","0",44,2020-10-29,2103,0
"45","0",45,2020-11-05,2235,0
"46","0",46,2020-11-12,2277,0
"47","0",47,2020-11-19,1791,0
"48","0",48,2020-11-26,1407,0
"49","1",1,2020-01-02,3,1
"50","1",2,2020-01-09,3,1
"51","1",3,2020-01-16,3,1
"52","1",4,2020-01-23,3,1
"53","1",5,2020-01-30,3,1
"54","1",6,2020-02-06,9,1
"55","1",7,2020-02-13,15,0
"56","1",8,2020-02-20,21,0
"57","1",9,2020-02-27,39,0
"58","1",10,2020-03-05,75,0
"59","1",11,2020-03-12,237,0
"60","1",12,2020-03-19,525,0
"61","1",13,2020-03-26,987,0
"62","1",14,2020-04-02,1155,0
"63","1",15,2020-04-09,849,0
"64","1",16,2020-04-16,687,0
"65","1",17,2020-04-23,525,0
"66","1",18,2020-04-30,435,0
"67","1",19,2020-05-07,303,0
"68","1",20,2020-05-14,285,0
"69","1",21,2020-05-21,195,0
"70","1",22,2020-05-28,159,0
"71","1",23,2020-06-04,117,0
"72","1",24,2020-06-11,111,0
"73","1",25,2020-06-18,111,0
"74","1",26,2020-06-25,75,0
"75","1",27,2020-07-02,57,0
"76","1",28,2020-07-09,57,0
"77","1",29,2020-07-16,45,0
"78","1",30,2020-07-23,33,0
"79","1",31,2020-07-30,33,0
"80","1",32,2020-08-06,27,0
"81","1",33,2020-08-13,33,0
"82","1",34,2020-08-20,21,0
"83","1",35,2020-08-27,33,0
"84","1",36,2020-09-03,51,0
"85","1",37,2020-09-10,87,0
"86","1",38,2020-09-17,129,0
"87","1",39,2020-09-24,183,0
"88","1",40,2020-10-01,285,0
"89","1",41,2020-10-08,369,0
"90","1",42,2020-10-15,453,0
"91","1",43,2020-10-22,603,0
"92","1",44,2020-10-29,663,0
"93","1",45,2020-11-05,693,0
"94","1",46,2020-11-12,657,0
"95","1",47,2020-11-19,519,0
"96","1",48,2020-11-26,315,0
