"","Week","Date","Freq","LowCount"
"1",5,2020-02-02,3,1
"2",8,2020-02-23,3,1
"3",9,2020-03-01,3,1
"4",10,2020-03-08,3,1
"5",11,2020-03-15,9,1
"6",12,2020-03-22,45,0
"7",13,2020-03-29,189,0
"8",14,2020-04-05,363,0
"9",15,2020-04-12,567,0
"10",16,2020-04-19,543,0
"11",17,2020-04-26,441,0
"12",18,2020-05-03,363,0
"13",19,2020-05-10,261,0
"14",20,2020-05-17,195,0
"15",21,2020-05-24,147,0
"16",22,2020-05-31,99,0
"17",23,2020-06-07,75,0
"18",24,2020-06-14,57,0
"19",25,2020-06-21,39,0
"20",26,2020-06-28,27,0
"21",27,2020-07-05,3,1
"22",28,2020-07-12,9,0
"23",29,2020-07-19,9,0
"24",30,2020-07-26,3,1
"25",31,2020-08-02,3,1
"26",32,2020-08-09,3,1
"27",33,2020-08-16,3,1
"28",34,2020-08-23,9,0
"29",35,2020-08-30,3,1
"30",36,2020-09-06,3,1
"31",37,2020-09-13,3,1
"32",38,2020-09-20,9,0
"33",39,2020-09-27,9,0
"34",40,2020-10-04,15,0
"35",41,2020-10-11,27,0
"36",42,2020-10-18,39,0
"37",43,2020-10-25,45,0
"38",44,2020-11-01,93,0
"39",45,2020-11-08,141,0
"40",46,2020-11-15,111,0
"41",47,2020-11-22,147,0
"42",48,2020-11-29,123,0
