Date,Week,Pos.average.perc,Pos.L95CI.perc,Pos.U95CI.perc,Pos.average.prop,Pos.L95CI.prop,Pos.U95CI.prop,Pos.No.Est,Pos.No.Est.L95CI,Pos.No.Est.U95CI,No_England_Millions
2020-05-03,18,0.27%,0.17%,0.41%,0.0027,0.0017,0.0041,"148,000","94,000","222,000",54.81
2020-05-10,19,0.25%,0.16%,0.38%,0.0025,0.0016,0.0038,"137,000","85,000","208,000",54.8
2020-05-17,20,0.24%,0.11%,0.46%,0.0024,0.0011,0.0046,"133,000","62,000","250,000",55.42
2020-05-24,21,0.10%,0.05%,0.18%,0.001,0.0005,0.0018,"53,000","25,000","99,000",53
2020-05-31,22,0.06%,0.02%,0.12%,0.0006,0.0002,0.0012,"33,000","14,000","68,000",55
2020-06-07,23,0.06%,0.02%,0.13%,0.0006,0.0002,0.0013,"33,000","12,000","74,000",55
2020-06-14,24,0.09%,0.04%,0.19%,0.0009,0.0004,0.0019,"51,000","21,000","105,000",56.67
2020-06-21,25,0.04%,0.02%,0.08%,0.0004,0.0002,0.0008,"25,000","12,000","44,000",62.5
2020-06-28,26,0.03%,0.01%,0.06%,0.0003,0.0001,0.0006,"14,000","5,000","31,000",46.67
2020-07-05,27,0.04%,0.03%,0.06%,0.0004,0.0003,0.0006,"23,600","15,300","33,900",59
2020-07-12,28,0.05%,0.03%,0.07%,0.0005,0.0003,0.0007,"27,700","18,500","39,900",55.4
2020-07-19,29,0.07%,0.04%,0.10%,0.0007,0.0004,0.001,"35,700","23,700","53,200",51
2020-07-26,30,0.05%,0.03%,0.07%,0.0005,0.0003,0.0007,"28,300","18,900","40,800",56.6
2020-08-02,31,0.05%,0.03%,0.07%,0.0005,0.0003,0.0007,"28,300","19,000","40,700",56.6
2020-08-09,32,0.05%,0.03%,0.06%,0.0005,0.0003,0.0006,"24,600","16,900","33,800",49.2
2020-08-16,33,0.05%,0.04%,0.07%,0.0005,0.0004,0.0007,"28,200","20,100","37,900",56.4
2020-08-23,34,0.05%,0.04%,0.07%,0.0005,0.0004,0.0007,"27,100","19,300","36,700",54.2
2020-08-30,35,0.07%,0.05%,0.10%,0.0007,0.0005,0.001,"39,700","29,300","52,700",56.71
2020-09-06,36,0.11%,0.09%,0.14%,0.0011,0.0009,0.0014,"59,800","46,900","75,200",54.36
2020-09-13,37,0.19%,0.16%,0.23%,0.0019,0.0016,0.0023,"103,600","85,600","123,400",54.53
2020-09-20,38,0.21%,0.18%,0.24%,0.0021,0.0018,0.0024,"116,600","101,000","133,100",55.52
2020-09-27,39,0.41%,0.37%,0.45%,0.0041,0.0037,0.0045,"224,400","203,800","245,700",54.73
2020-10-04,40,0.62%,0.57%,0.66%,0.0062,0.0057,0.0066,"336,500","312,200","362,000",54.27
2020-10-11,41,0.79%,0.75%,0.84%,0.0079,0.0075,0.0084,"433,300","407,500","459,300",54.85
2020-10-18,42,1.04%,0.98%,1.10%,0.0104,0.0098,0.011,"568,100","536,500","600,400",54.63
2020-10-25,43,1.13%,1.07%,1.20%,0.0113,0.0107,0.012,"618,700","583,100","655,000",54.75
2020-11-01,44,1.20%,1.14%,1.27%,0.012,0.0114,0.0127,"654,000","619,400","689,800",54.5
2020-11-08,45,1.22%,1.15%,1.29%,0.0122,0.0115,0.0129,"664,700","628,300","701,200",54.48
2020-11-15,46,1.16%,1.10%,1.23%,0.0116,0.011,0.0123,"633,000","599,200","668,200",54.57
2020-11-22,47,0.96%,0.90%,1.01%,0.0096,0.009,0.0101,"521,300","490,600","552,600",54.3
2020-11-29,48,0.88%,0.83%,0.94%,0.0088,0.0083,0.0094,"481,500","450,800","513,600",54.72
2020-12-06,49,1.04%,0.98%,1.10%,0.0104,0.0098,0.011,"567,300","533,600","602,300",54.55
2020-12-13,50,1.18%,1.12%,1.25%,0.0118,0.0112,0.0125,"645,800","610,100","683,100",54.73
